"Select","Selecionar"
"Credit card type is not allowed for this payment method.","Tipo do cartão de credito não permitido para este tipo de método de pagamento"
"Error on order payment %d.","Erro no pagamento do pedido %d."
"There has been a payment confirmation error. Verify data and try again","Houve um problema na confirmação do pagamento. Verifique os dados e tente novamente."
"Enabled","Ativo"
"Title","Título"
"My Saved Cards","Meus Cartões Salvos"
"Remove Card","Remover Cartão"
"My Subscriptions","Minhas Assinaturas"
"Remove Payment Profile","Remover forma de pagamento"
"Confirm Remove","Confirmar Exclusão"
"Confirm that you really want to delete the card %1","Confirme que você gostaria de excluir o cartão %1"
"Confirm that you really want to delete the card","Confirme que você gostaria de excluir o cartão"
"This card is associated with the following subscriptions:","Este cartão está associado com as seguintes assinaturas:"
"Before removing it, you must change the payment method of the subscription so that the service continues to work normally. Click on","Antes de excluí-lo é preciso alterar o método de pagamento da assinatura para que o serviço continue funcionando normalmente. Clique em"
"select the subscription by clicking on","selecione a assinatura clicando em"
"VIEW DETAILS","VER DETALHES"
"and click on","e clique em"
"EDIT METHOD","EDITAR MÉTODO"
"Api Key","Chave da Api"
"Payment Action","Ação de pagamento"
"Api Endpoint","Endpoint da Api"
"Allow Installments","Permitir Parcelamento"
"Max Installments","Parcelamento Máximo"
"Min Installment Value","Valor Mínimo do Parcelamento"
"New Order Status","Status de conclusão do pedido"
"Verify Profile?","Transação de Verificação"
"Allow Countries","Disponível para Países"
"Payment from Applicable Countries","Países Disponíveis"
"Could Not Find Payment Credit Card Type","Não pode encontrar Bandeira do cartão de crédito"
"Brand","Bandeira"
"Cvv","Código de Verificação"
"Select the brand","Escolha a bandeira"
"Please enter the Credit Card Type.","Por favor selecione a Bandeira."
"Please enter the Credit Card Expiry Year.","Por favor selecione o ano de vencimento"
"Please enter the Credit Card Expiry Month.","Por favor selecione o mês de vencimento"
"Please enter the Credit Card Number.","Por favor digite o número do cartão de credito"
"Please enter the Credit Card Owner Name.","Por favor digite o nome do titular do cartão de credito"
"Please enter the Credit Card CVV.","Por favor digite o código de verificação"
"Installments","Parcelas"
"Please enter the number of Installments","Por favor escolha o número de parcelas"
"Production","Produção"
"Mode","Modo"
"Configuration","Configuração"
"Use this link to set up events in Vindi Webhooks.","Utilize esse link para configurar os eventos nos Webhooks da Vindi."
"The api key was not set on the module basic configuration","A chave da api não foi configurada na configuração base do módulo"
"General","Geral"
"The api key is invalid or the merchant is inactive","A chave da api é invalida ou a loja está inativa"
"Vindi - Credit Card","Vindi - Cartão de Crédito"
"Print Url: %s","Imprimir: %s"
"Print your Bankslip","Imprimir Boleto"
"The bank slip will be sent to your e-mail.","O boleto bancário será enviado para o seu e-mail."
"Payment data will be displayed after placing the order.","Os dados para o pagamento, serão exibidos após finalizar o pedido."
"indefinitely", "por tempo indefinido"
"%1 times", "%1 vezes"
"1 time", "1 vez"
"1 day before","1 dia antes"
"Exactly on the Day","Exatamente no dia"
"1 day later","1 dia depois"
"%1 days before","%1 dias antes"
"%1 days later","%1 dias depois"
"Beginning of Period","Início do Período"
"End of Period","Término do Período"
"month(s)","mês(es)"
"day(s)","dia(s)"
"Payment Frequency","Periodicidade"
"Billing Trigger","Tipo de Cobrança"
"Vindi Plan","Plano Vindi"
"Vindi Plan Settings","Configuração do Plano Vindi"
"Day of Month","Dia do Mês"
"Day %1","Dia %1"
"Subscriptions","Assinaturas"
"client","Cliente"
"plan","Plano"
"start_at","Início"
"payment_method","Método de Pagamento"
"status","Status"
"active","Ativo"
"future","Agendado"
"canceled","Cancelado"
"expired","Expirado"
"Subscription #%1","Assinatura #%1"
"Edit Subscription","Editar Assinatura"
"months","Mensal"
"The subscription was confirmed","A assinatura foi confirmada"
"The subscription was canceled","A assinatura foi cancelada"
"The subscription was reactivated","A assinatura foi reativada"
"Advanced Editing","Edição Avançada"
"Save Changes","Salvar Alterações"
"payment profile","Perfil de pagamento"
"Something went wrong while saving the Subscription.","Algo deu errado ao salvar a assinatura"
"You saved the Subscription.","Assinatura salva com sucesso"
"This Subscription no longer exists.","Essa assinatura não existe"
"Cancel Subscription","Cancelar Assinatura"
"Something went wrong while cancel the Subscription.","Ocorreu um erro ao cancelar a assinatura."
"You canceled the Subscription.","Você cancelou a assinatura."
"Vindi Plan","Plano Vindi"
"Create New Plan","Criar Novo Plano"
"Open QR Code","Abrir QR Code"
"QR Code warning message","Mensagem de aviso QR Code"
"Pix Payment method message","Mensagem do método de pagamento Pix"
"Message when selecting the payment method on the checkout screen.","Mensagem ao selecionar o método de pagamento na tela de checkout."
"Message on onepage success","Mensagem na página de sucesso"
"Message that will be presented to the customer on the success screen, after completing the order.","Mensagem que será apresentado ao cliente na tela de sucesso, após finalizar o pedido."
"Copy QR Code key","Copiar chave QR Code"
"Message if the qr code is not resized.","Mensagem se o QR Code não for redimensionado."
"QR Code Key copied","Chave QR Code copiada"
"Error copying QR Code","Erro ao copiar QR Code"
"Pay up: %s","Pague até: %s"
"Pay up: %s","Pague até: %s"
"Enabled document","Ativar documento"
"When enabled, it will only be possible to finalize the order with the document informed when selecting the payment method. When disabled, the client will not be asked for the document, but it will still be necessary to send the document when creating the order in VINDI, otherwise it will be rejected by the API.","Quando habilitado, só será possível finalizar o pedido com o documento informado ao selecionar o método de pagamento. Quando desabilitado, não será solicitado ao cliente o documento, porém ainda será necessário o envio do documento ao criar o pedido na VINDI, caso contrário será rejeitado pela API."
"Paid Order Status","Status de Pedido Pago"
"Vindi Recurring (VR)","Vindi Recorrência (VR)"
"Credit Card!","Cartão de Crédito"
"The api key is invalid or the merchant is not active, neither in trial","A chave da api é inválida ou o comerciante não está ativo"
"click here","clique aqui"
"Plans","Planos"
"Plans Management","Gerenciamento de Planos"
"Create Plan","Criar Plano"
"Edit Plan","Editar Plano"
"Import Plans","Importar Planos"
"Plans imported successfully!","Planos importados com sucesso!"
"An error occurred during the import process.","Ocorreu um erro durante o processo de importação."
"Plan saved successfully!","Plano salvo com sucesso!"
"An error occurred while saving the plan.","Ocorreu um erro ao salvar o plano."
"Deleted","Excluído"
"Months","Meses"
"External Code","Código Externo"
"Plan Description","Descrição do Plano"
"Interval Duration","Duração do Intervalo"
"Number of intervals within a period","Número de intervalos dentro de um período"
"Reference for bill generation date","Referência para data de geração da cobrança"
"Day for billing","Dia para geração da cobrança"
"Maximum number of periods in a subscription. Null means indefinite duration","Número máximo de períodos em uma assinatura. Nulo significa duração indefinida"
"Remove in store","Remover na loja"
"Remove in store and at Vindi","Remover na loja e na Vindi"
"Plan updated successfully!","Plano atualizado com sucesso!"
"%1 plan(s) imported successfully!","%1 plano(s) importado(s) com sucesso!"
"No new plans were imported.","Nenhum plano novo foi importado."
"A plan with the same code already exists.","Já existe um plano com o mesmo código."
"Remove in store (does not delete in Vindi)","Remover na loja (não deleta na Vindi)"
"Active","Ativo"
"Future","Agendado"
"Canceled","Cancelado"
"Expired","Expirado"
"My Subscriptions","Minhas assinaturas"
"Credit Card","Cartão de Crédito"
"Bank Slip","Boleto Bancário"
"Client","Cliente"
"Plan","Plano"
"Start","Início"
"Payment Method","Método de Pagamento"
"Card","Cartão"
"Are you sure you want to delete this payment profile?","Tem certeza que deseja excluir esse perfil de pagamento?"
"Payment profile successfully removed.","Perfil de pagamento removido com sucesso."
"Payment profile not found.","Perfil de pagamento não encontrado."
"An error occurred while removing the payment profile.","Ocorreu um erro ao remover o perfil de pagamento."
"Invalid payment profile ID.","ID de perfil de pagamento inválido."
"Add Card","Adicionar Cartão"
"Update Card","Atualizar Cartão"
"Payment profile updated successfully.","Perfil de pagamento atualizado com sucesso."
"Subscriptions","Assinaturas"
"Client","Cliente"
"Plan","Plano"
"Start","Início"
"Status","Status"
"There are no subscriptions for this customer.","Não há assinaturas para este cliente."
"Card","Cartão"
"Action","Ação"
"Edit","Editar"
"Remove","Remover"
"Are you sure you want to delete this payment profile?","Tem certeza de que deseja excluir este perfil de pagamento?"
"No cards available for this customer.","Não há cartões disponíveis para este cliente."
"Add Card","Adicionar Cartão"
"Update Your Card","Atualize Seu Cartão"
"Create Your Card","Criar Seu Cartão"
"Card Number","Número do Cartão"
"Expiration Date","Data de Validade"
"CVV","CVV"
"Cardholder Name","Nome do Titular"
"Update Card","Atualizar Cartão"
"Add Card","Adicionar Cartão"
"Back","Voltar"
"Payment profile successfully removed.","Perfil de pagamento removido com sucesso."
"Invalid payment profile ID.","ID do perfil de pagamento inválido."
"Payment profile not found.","Perfil de pagamento não encontrado."
"An error occurred while removing the payment profile: ","Ocorreu um erro ao remover o perfil de pagamento: "
"New payment profile created successfully.","Novo perfil de pagamento criado com sucesso."
"Card number is invalid.","Número do cartão inválido."
"Expiration date is invalid.","Data de validade inválida."
"CVV is invalid.","CVV inválido."
"Holder Name","Nome do Titular"
"Please add a billing address to your account before proceeding.","Por favor, adicione um endereço de cobrança à sua conta antes de prosseguir."
"The registry code (CPF/CNPJ) is required for creating a customer on Vindi.","O código de registro (CPF/CNPJ) é obrigatório para criar um cliente na Vindi."
"An error occurred while saving the payment profile: ","Ocorreu um erro ao salvar o perfil de pagamento: "
"New payment profile created successfully.","Novo perfil de pagamento criado com sucesso."
"Information", "Informação"
"Settings", "Configurações"
"Name", "Nome"
"Plan name. As a suggestion, use an informative plan name such as: Monthly, Quarterly, etc.", "Nome do plano. Como sugestão, utilize um nome de plano informativo, como por exemplo: Mensal, Trimestral, etc."
"Status", "Status"
"Inactive plans will not be available for new sales, but existing subscriptions will continue to be charged and renewed normally.", "Planos inativos não estarão disponíveis para novas vendas, porém assinaturas existentes continuarão sendo cobradas e renovadas normalmente."
"Observations", "Observações"
"Free text field for internal notes. It will not be displayed to customers.", "Campo de texto livre para observações internas. Não será exibido para os clientes."
"Free text field for internal notes.", "Campo de texto livre para observações internas."
"Display on Product Page", "Exibir na Página do Produto"
"The purpose of this display is to enable the display of additional information to the customer, if the retailer deems it necessary.","O objetivo dessa exibição é possibilitar a exibição de informações complementares para o cliente, caso o lojista ache necessário."
"Display 'Notes' on product page","Exibir 'Observações' na página do produto"
"Charge every", "Cobrar a cada"
"Number of periods to be charged", "Quantidade de períodos a serem cobrados"
"Use positive values starting from 1. If left empty, the period will be indefinite.", "Utilize valores positivos a partir de 1. Caso deixe vazio o período será por tempo indefinido."
"Billing method", "Forma de cobrança"
"Billing setup", "Configuração da cobrança"
"Billing will be carried out on the day of the month present in the period when the customer subscribed. For example, if set to the 5th and the customer subscribed on the 6th, the billing will take place on the 5th of the following month.", "O faturamento será realizado no dia do mês presente no período em que o cliente se inscreveu. Por exemplo, se definido para o dia 5 e o cliente se inscreveu no dia 6, o faturamento ocorrerá no dia 5 do mês seguinte."
"of", "de"
"Billing will be based on the period created at the time of subscription: e.g., Charge exactly on the day the subscription period starts, or in a trial example, charge 07 days after the start of the subscription period.", "A cobrança será feita baseada no período criado na criação da assinatura. Ex.: cobrar exatemente no dia do início do período da assinatura, ou em um exemplo de trial, cobrar 07 dias após o início do período da assinatura."
"Installments", "Parcelas"
"External Code", "Código Externo"
"Identification code of the plan in Vindi, it will be generated automatically when creating the plan.", "Código de identificação do plano na Vindi, será gerado automaticamente ao criar o plano."
"Vindi ID", "ID Vindi"
"Identification ID of the plan in Vindi, this ID will be generated automatically when creating the plan.", "ID de identificação do plano na Vindi, este ID será gerado automaticamente ao criar o plano."
"This billing method only supports monthly plans, i.e., month-to-month.","Essa forma de cobrança só suporta planos mensais, ou seja, mês a mês."
"Billing interval cannot be in days for plans with more than one installment.","Intervalo de cobrança não pode ser em dias para planos com mais de uma parcela."
"The number of installments cannot be greater than the billing interval.","A quantidade de parcelas não pode ser maior que o intervalo de cobrança."
"The number of periods to be charged is required for fixed-duration plans.","A quantidade de períodos a ser cobrado é obrigatória para duração por tempo definido."
"Duration","Duração"
"Example: To create a monthly plan that lasts for a year, select 'Charge every 1 month 12 times'. To create an unlimited weekly plan, select 'Charge every 7 days indefinitely'. To create a weekly plan, for example, select to charge every 06 months.","Exemplo: Para criar um plano mensal que dure um ano, selecione 'Cobrar a cada 1 mês 12 vezes'. Já para criar um plano semanal ilimitado, selecione 'Cobrar a cada 7 dias por tempo indefinido'. Para criar um plano semestral, por exemplo, selecione cobrar a cada 06 meses."
"Recurrence","Recorrência"
"Enable Recurrence","Habilitar Recorrência"
"Recurrence Data","Dados de Recorrência"
"Plan ID","ID do Plano"
"Plan Price","Preço do Plano"
"Plan Installments","Parcelas do Plano"
"A plan must be selected for this product.","Um plano deve ser selecionado para este produto."
"Please select a recurrence option before adding to cart.","Por favor, selecione uma opção de recorrência antes de adicionar ao carrinho."
"Choose a recurrence option:","Escolha uma opção de recorrência:"
"Price is not a valid number.","Preço não é um número válido."
"It is not possible to add more products, as there is already a recurring product in the cart.","Não é possível adicionar mais produtos, pois já existe um produto recorrente no carrinho."
"It is not possible to increase the quantity of the recurring product in the cart.","Não é possível aumentar a quantidade do produto recorrente no carrinho."
"Subscription products can only be purchased one at a time.","Produtos de assinatura só podem ser comprados um de cada vez."
"There is already a subscription product in the cart.","Já existe um produto de assinatura no carrinho."
"Please note, each subscription product can be purchased only in a quantity of one per order for your convenience.","Por favor, observe que cada produto de assinatura pode ser comprado apenas em uma quantidade de um por pedido para sua conveniência."
"Each subscription product can be purchased only in a single unit per transaction.","Cada produto de assinatura pode ser comprado apenas em uma unidade por transação."
"Your cart already contains a subscription product. Only one subscription product is allowed per transaction.","Seu carrinho já contém um produto de assinatura. Apenas um produto de assinatura é permitido por transação."
"The number of installments cannot be greater than the number of installments of the plan.","A quantidade de parcelas não pode ser maior que a quantidade de parcelas do plano."
"In cash","À vista"
"Customer will choose in checkout","Cliente escolherá na finalização"
"Standard Installment","Parcelamento Padrão"
"Your saved cards","Seus cartões salvos"
"New Card.","Novo Cartão"
"Subscription","Assinatura"
"Subscription Information","Informações da Assinatura"
"Subscription ID:","ID da Assinatura:"
"Subscription Link:","Link da Assinatura:"
"Order:","Pedido:"
"Customer Email:","E-mail do Cliente:"
"View Subscription","Ver Assinatura"
"Can be used for recurring purchases?","Pode ser usado para compras recorrentes?"
"We are finalizing the processing of your payment via Pix.", "Estamos finalizando o processamento do seu pagamento via Pix."
"How does it work?", "Como funciona?"
"Why this wait?", "Por que essa espera?"
"This ensures that the charge is aligned with the cycle of your subscription and that you always have full control over the payments.", "Isso garante que a cobrança seja alinhada com o ciclo de sua assinatura e você tenha sempre o controle total sobre os pagamentos."
"What to do now?", "O que fazer agora?"
"No further action is needed now. Just stay tuned to your email and our website on the mentioned date to make the payment. If you have any questions or need assistance, we are always available to help!", "Não é necessário realizar mais nenhuma ação agora. Apenas fique atento(a) ao seu e-mail e ao nosso site na data mencionada para realizar o pagamento. Caso tenha alguma dúvida ou necessite de assistência, estamos sempre disponíveis para ajudar!"
"We appreciate your trust and are looking forward to continuing to offer you the best service.", "Agradecemos sua confiança e estamos ansiosos para continuar oferecendo o melhor serviço para você."
"You will receive the QR Code to make the payment according to the scheduled date of your next recurrence. This QR Code will be sent to your registered email and will also be available in your client area on our website.","Você receberá o QR Code para efetuar o pagamento de acordo com a data prevista de sua próxima recorrência. Este QR Code será enviado para o seu e-mail cadastrado e também ficará disponível na sua área de cliente em nosso site."
"We are finalizing the processing of your payment via Bankslip.", "Estamos finalizando o processamento do seu pagamento via Bolepix."
"You will receive the Bankslip to make the payment according to the scheduled date of your next recurrence, on the day <strong>...</strong>. This Bankslip will be sent to your registered email and will also be available in your client area on our website.", "Você receberá o Boleto para efetuar o pagamento conforme a data programada de sua próxima recorrência, no dia <strong>...</strong>. Esse Boleto será enviado para o seu e-mail cadastrado e também estará disponível em sua área do cliente em nosso site."
"You will receive the Bankslip to make the payment according to the scheduled date of your next recurrence. This Bankslip will be sent to your registered email and will also be available in your client area on our website.","Você receberá o Boleto para efetuar o pagamento de acordo com a data prevista de sua próxima recorrência. Este Boleto será enviado para o seu e-mail cadastrado e também ficará disponível na sua área de cliente em nosso site."
"Hello %name,", "Olá %name,"
"Your QRCode and/or BankSlip is now available for payment.", "Seu método já está disponível para pagamento."
"You can access your order details and complete the payment by visiting the following link:", "Você pode acessar os detalhes do seu pedido e concluir o pagamento visitando o seguinte link:"
"Thank you for your trust in our services!", "Obrigado pela confiança em nossos serviços!"
"QR Code and/or Bank Slip Available for Payment","QR Code e/ou Boleto Disponível para Pagamento"
"You will receive the QRCode to make the payment according to the scheduled date of your next recurrence. This QRCode will be sent to your registered email and will also be available in your client area on our website.","Você receberá o QRCode para fazer o pagamento de acordo com a data agendada de sua próxima recorrência. Este QRCode será enviado para seu e-mail cadastrado e também estará disponível na sua área de cliente em nosso site."
"You will receive the QRCode to make the payment according to the scheduled date of your next recurrence, on the day","Você receberá o QRCode para fazer o pagamento de acordo com a data agendada de sua próxima recorrência, no dia"
"This QRCode will be sent to your registered email and will also be available in your client area on our website.","Este QRCode será enviado para seu e-mail cadastrado e também estará disponível na sua área de cliente em nosso site."
"You will receive the BankSlip to make the payment according to the scheduled date of your next recurrence, on the day","Você receberá o Boleto para fazer o pagamento de acordo com a data agendada de sua próxima recorrência, no dia"
"This BankSlip will be sent to your registered email and will also be available in your client area on our website.","Este Boleto será enviado para seu e-mail cadastrado e também estará disponível na sua área de cliente em nosso site."
"You will receive the BankSlip to make the payment according to the scheduled date of your next recurrence. This BankSlip will be sent to your registered email and will also be available in your client area on our website.","Você receberá o Boleto para fazer o pagamento de acordo com a data agendada de sua próxima recorrência. Este Boleto será enviado para seu e-mail cadastrado e também estará disponível na sua área de cliente em nosso site."
"Subscription Detail","Detalhes da Assinatura"
"Pedido","Order"
"Detalhes da assinatura","Subscription Details"
"Assinatura","Subscription"
"Item","Item"
"Valor","Amount"
"Próxima cobrança","Next Billing"
"Duração","Duration"
"Periodicidade","Frequency"
"Data de início","Start Date"
"Status","Status"
"Método de pagamento","Payment Method"
"Editar método","Edit Method"
"Cobranças","Billing"
"Período","Period"
"Cobrança","Billing Date"
"Valor","Amount"
"Aguardando pagamento","Awaiting Payment"
"Pagamento aprovado","Payment Approved"
"Ver cobrança","View Billing"
"Endereço de entrega","Shipping Address"
"Informações","Information"
"Editar endereço","Edit Address"
"Cancelar assinatura","Cancel Subscription"
"Esta assinatura não existe ou você não tem permissão para visualizá-la.","This subscription does not exist or you do not have permission to view it."
"Subscription Details","Detalhes da Assinatura"
"Next Billing","Próxima Cobrança"
"Billing Date","Data de Cobrança"
"Edit Method","Editar Método"
"View Billing","Ver Cobrança"
"1 day after the end","1 dia após o término"
"%1 days after the end","%1 dias após o término"
"%1 days before the end","%1 dias antes do término"
"Exactly on day %1 of each month","Exatamente no dia %1 de cada mês"
"Details","Detalhes"
"Customer","Cliente"
"Status","Status"
"Since","Desde"
"Plan","Plano"
"Frequency","Periodicidade"
"Billing","Cobrança"
"Next Billing","Próxima Cobrança"
"Payment Method","Método de pagamento"
"Products","Produtos"
"Product","Produto"
"Quantity","Quantidade"
"Duration","Duração"
"Price","Preço"
"No products found.","Nenhum produto encontrado."
"Periods","Períodos"
"Period","Período"
"Cycle","Ciclo"
"No periods found.","Nenhum período encontrado."
"Discounts","Descontos"
"Discount","Desconto"
"No discounts found.","Nenhum desconto encontrado."
"Payment Methods","Métodos de pagamento"
"Card","Cartão"
"Edit method","Editar método"
"No payment methods found.","Nenhum método de pagamento encontrado."
"Billings","Cobranças"
"ID","ID"
"Order ID","Order ID"
"Created at","Criado em"
"Total","Total"
"View","Visualizar"
"No orders found.","Nenhum pedido encontrado."
"Subscription canceled successfully.","Assinatura cancelada com sucesso."
"Something went wrong while cancel the Subscription.","Algo deu errado ao cancelar a assinatura."
"Are you sure you want to cancel your subscription?", "Tem certeza de que deseja cancelar sua assinatura?"
"Permanent","Permanente"
"Billing method cannot be empty.","O método de cobrança não pode estar vazio."
"< Back","< Voltar"
"Edit Payment Method","Editar Método de Pagamento"
"You do not have another credit card registered for editing the subscription payment method.","You do not have another credit card registered for editing the subscription payment method."
"This Subscription no longer exists.","Esta Assinatura não existe mais."
"Something went wrong while saving the Subscription.","Algo deu errado ao salvar a Assinatura."
"You saved the Subscription.","Você salvou a Assinatura."
"Add Payment Method","Adicionar Método de Pagamento"
"Add New Payment Method","Adicionar Novo Método de Pagamento"
"Expiry Month","Mês de Vencimento"
"Expiry Year","Ano de Vencimento"
"Card Holder Name","Nome do Titular"
"Select card","Selecionar cartão"
"Log Information","Informações de Log"
"This subscription is not available for purchase as it does not have any plans associated.","Esta assinatura não está disponível para compra, pois não possui nenhum plano associado."
"Back","Voltar"
"Edit Subscription","Editar Assinatura"
"Day %1 of the month","Dia %1 do mês"
"Exactly on the day of the beginning of the period","Exatamente no dia do início do período"
"Exactly on the day of the end of the period","Exatamente no dia do término do período"
"before","antes"
"after","após"
"end of the period","término do período"
"beginning of the period","início do período"
"%1 days","%1 dias"
"Permanent","Permanente"
"%1 cycles","%1 ciclos"
"Details","Detalhes"
"Customer","Cliente"
"Status","Status"
"Since","Desde"
"Plan","Plano"
"Periodicity","Periodicidade"
"Duration","Duração"
"Billing","Cobrança"
"Next Billing","Próxima Cobrança"
"Payment Method","Método de pagamento"
"Products","Produtos"
"Product","Produto"
"Quantity","Quantidade"
"Price","Preço"
"Periods","Períodos"
"Period","Período"
"Cycle","Ciclo"
"Discounts","Descontos"
"Discount","Desconto"
"View","Ver"
"No orders found.","Nenhum pedido encontrado."
"Subscription: #","Assinatura: #"
"Subscription ID: #","ID da Assinatura: #"
"Back","Voltar"
"Edit Subscription","Editar Assinatura"
"Permanent","Permanente"
"cycles","ciclos"
"Day %1 of the month","Dia %1 do mês"
"Exactly on the day of the start of the period","Exatamente no dia do início do período"
"Exactly on the day of the end of the period","Exatamente no dia do término do período"
"before","antes"
"after","após"
"end of the period","término do período"
"start of the period","início do período"
"Days","Dias"
"days","dias"
"Every %1 %2","A cada %1 %2"
"1 day after the end","1 dia após o término"
"%1 days after the end","%1 dias após o término"
"%1 days before the end","%1 dias antes do término"
"Exactly on day %1 of each month","Exatamente no dia %1 de cada mês"
"day(s)","dia(s)"
"week(s)","semana(s)"
"month(s)","mês(es)"
"year(s)","ano(s)"
"The invoice has already been created.","A fatura já foi criada."
"We are finalizing the processing of your payment via BankSlip.","Estamos finalizando o processamento do seu pagamento via boleto."
"Your credit card payment was processed successfully.","Seu pagamento com cartão de crédito foi processado com sucesso."
"We are finalizing the processing of your credit card payment.","Estamos finalizando o processamento do seu pagamento com cartão de crédito."
"Your next billing date is scheduled for:", "Sua próxima data de cobrança está agendada para:"
"Your next billing date will be scheduled soon. Please check your email for further details.", "Sua próxima data de cobrança será agendada em breve. Por favor, verifique seu e-mail para mais detalhes."
"No further action is needed at the moment. Please keep an eye on your email for updates regarding your payment status. If you have any questions or need assistance, we are here to help!", "Nenhuma ação adicional é necessária no momento. Por favor, fique de olho no seu e-mail para atualizações sobre o status do seu pagamento. Se você tiver alguma dúvida ou precisar de ajuda, estamos aqui para ajudar!"
"We appreciate your trust and are committed to providing you with the best service.", "Agradecemos a sua confiança e estamos comprometidos em fornecer o melhor serviço."
"You cannot add a subscription product to the cart as it already contains a non-subscription product.","Você não pode adicionar um produto de assinatura ao carrinho, pois ele já contém um produto que não é de assinatura."
"The payment profile is being used in the following subscriptions:", "O perfil de pagamento está sendo usado nas seguintes assinaturas:"
"Payment profile successfully removed.","Perfil de pagamento removido com sucesso."
"An error occurred while removing the payment profile: ","Ocorreu um erro ao remover o perfil de pagamento: "
"You do not have another credit card registered for editing the subscription payment method.","Você não tem outro cartão de crédito registrado para editar o método de pagamento da assinatura."
"Subscription ID: %1","ID da assinatura: %1"
"If you wish to delete this card, please associate a different existing card or register a new card and associate it with the current subscriptions.","Se deseja excluir este cartão, por favor associe um cartão existente diferente ou registre um novo cartão e associe-o com as assinaturas atuais."
"You must be logged in to access the checkout.","Você precisa estar logado para acessar o checkout."
"Future","Futuro"
"Canceled","Cancelado"
"Expired","Expirado"
"The payment profile is being used in the following active subscriptions:","O perfil de pagamento está sendo usado nas seguintes assinaturas ativas:"
"Vindi - Subscriptions","Vindi - Assinaturas"
"Save Subscription","Salvar Assinatura"
"Update Subscription","Atualizar Assinatura"
"Payment Link","Link de Pagamento"
"Enabled","Habilitado"
"Enable the feature that allows the store owner to send a payment link to the customer.","Habilita a funcionalidade que permite ao lojista enviar um link de pagamento para o cliente."
"Payment Link","Link de Pagamento"
"Vindi - Payment Link","Vindi - Link de Pagamento"
"Send Vindi Payment Link","Enviar Link de Pagamento da Vindi"
"Each subscription product can be purchased only in a single unit per transaction.","Cada produto de assinatura pode ser comprado apenas em uma unidade por transação."
"You can only purchase one unit of each subscription product per transaction. Please adjust the quantity.","Você só pode comprar uma unidade de cada produto de assinatura por transação. Por favor ajuste a quantidade."
"Your cart already contains a subscription product. Only one subscription product is allowed per transaction.","Seu carrinho já contém um produto de assinatura. Apenas um produto de assinatura"
"Your cart already contains a subscription product. You can only add one subscription product per transaction. Please complete your current purchase or remove the existing subscription product to add a different one.","Seu carrinho já contém um produto de assinatura. Você só pode adicionar um produto de assinatura por transação. Conclua sua compra atual ou remova o produto de assinatura existente para adicionar outro."
"Subscription products have been removed from your cart after login.","Produtos de assinatura foram removidos do seu carrinho após o login."
"Payment Link", "Link para Pagamento"
"Copy code","Copiar código"
"Send Payment Link","Enviar Link de Pagamento"
